BusinessField,Description,OCOPRating,Name,Address,PhoneNumber
Rượu Vang Nếp Thành Tâm ,Tốt,3, Cơ sở Rượu Bàu Đá Thành Tâm         ," Thôn Thọ Lộc 1, xã Nhơn Thọ, thị xã An Nhơn, tỉnh Bình Định       ", 0914.140.178
Tinh dầu sả nguyên chất (Sả JAVA) ,Tốt,4, HTX Nông Công Thương An Nhơn         ," Thôn Thiết Tràng, xã Nhơn Mỹ, Thị xã An Nhơn, tỉnh Bình Định       ", 0399.987.798
Rượu Bàu Đá Đậu xanh Hoa Thưởng ,Tốt,4, Hộ kinh doanh Lê Văn Thưởng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0385.012.379
Rượu Bàu Đá Gạo Hoa Thưởng ,Tốt,4, Hộ kinh doanh Lê Văn Thưởng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0385.012.379
Rượu Bàu Đá Nếp Hoa Thưởng ,Tốt,4, Hộ kinh doanh Lê Văn Thưởng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0385.012.379
Bánh tráng Gạo _Trường Cửu Phúc Nhân ,Tốt,3, Hộ kinh doanh Lê Hữu Ý        ," Thôn Trường Cửu, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0901.631.255
Nước mắm Bốn Phương ,Tốt,3, DNTN sản xuất nước mắm Bốn Phương        ," Cụm TTCN Nhơn An, xã Nhơn An, thị xã An Nhơn, tỉnh Bình Định       ", 0908.345.390
Rượu Bàu Đá – Đậu xanh Ba Hưng   ,Tốt,3, Hộ kinh doanh Lê Mạnh Hưng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0976.628.307
Rượu Bàu Đá – Gạo Ba Hưng   ,Tốt,3, Hộ kinh doanh Lê Mạnh Hưng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0976.628.307
Rượu Bàu Đá – Đậu xanh Bốn Vinh   ,Tốt,3, Hộ kinh doanh Phạm Thị Vinh        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0368.383.249
Rượu Bàu Đá – Đậu xanh Năm Phượng   ,Tốt,3, Hộ kinh doanh Nguyễn Thị Năm        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0373.390.741
Rượu Bàu Đá – Gạo Thiện Yến   ,Tốt,3, Hộ kinh doanh Huỳnh Thị Thanh Yến        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0356.179.902
Rượu Bàu Đá – Gạo Ngọc Khôi   ,Tốt,3, Hộ kinh doanh Nguyễn Ngọc Khôi        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0378.788.820
Rượu Bàu Đá – Gạo Năm Thương   ,Tốt,3, Hộ kinh doanh Nguyễn Ngọc Thương        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0396.326.935
Rượu Bàu Đá – Gạo Quốc Việt   ,Tốt,3, Hộ kinh doanh Phạm Văn Anh        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0983.076.206
Rượu Bàu Đá – Gạo Văn Khanh   ,Tốt,3, Hộ kinh doanh Trần Văn Khanh        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0396.642.302
Rượu Bàu Đá – Gạo Hiền   ,Tốt,3, Hộ kinh doanh Lê Đình Ưng        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0333.026.178
Rượu Bàu Đá – Gạo Kim Cương   ,Tốt,3, Hộ kinh doanh Trần Văn Chương        ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0986.145.810
Rượu Bàu Đá – Nếp Văn Dần   ,Tốt,3, Hộ kinh doanh Đinh Văn Dần       ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0987.360.774
Rượu Bàu Đá – Nếp 9 Đợi   ,Tốt,3, Hộ kinh doanh Nguyễn Đợi       ," Thôn Cù Lâm, xã Nhơn Lộc, thị xã An Nhơn, tỉnh Bình Định       ", 0989.082.474
Yến sào Sáu Hồng   ,Tốt,3, Hộ kinh doanh Phan Văn Sáu      ," Thôn Thanh  Liêm, xã Nhơn An, thị xã An Nhơn, tỉnh Bình Định       ", 0914.380.150
